Date,EUR
26.05.2020,77.8823
23.05.2020,78.4431
22.05.2020,77.7965
21.05.2020,79.1813
20.05.2020,79.1677
19.05.2020,78.9422
16.05.2020,79.1279
15.05.2020,79.9033
14.05.2020,79.7775
13.05.2020,79.4394
09.05.2020,80.0039
08.05.2020,80.0611
07.05.2020,80.0598
01.05.2020,79.1189
30.04.2020,80.0488
29.04.2020,80.7749
28.04.2020,80.7611
25.04.2020,80.2528
24.04.2020,81.1468
23.04.2020,83.6826
22.04.2020,82.616
21.04.2020,81.1019
18.04.2020,80.111
17.04.2020,81.2791
16.04.2020,80.6731
15.04.2020,80.1186
14.04.2020,80.5387
11.04.2020,80.7358
10.04.2020,81.0882
09.04.2020,82.2341
08.04.2020,82.012
07.04.2020,82.6346
28.03.2020,85.7389
27.03.2020,85.9648
26.03.2020,84.1485
25.03.2020,85.4253
24.03.2020,86.705
21.03.2020,84.1552
20.03.2020,87.2669
19.03.2020,84.8881
18.03.2020,82.3056
17.03.2020,82.7471
14.03.2020,81.861
13.03.2020,83.6584
12.03.2020,81.0207
11.03.2020,81.8588
07.03.2020,75.8424
06.03.2020,73.6842
05.03.2020,73.7369
04.03.2020,73.9385
03.03.2020,73.4178
29.02.2020,73.7235
28.02.2020,71.6458
27.02.2020,71.2439
26.02.2020,70.4591
22.02.2020,69.4191
21.02.2020,68.7705
20.02.2020,68.7823
19.02.2020,69.0882
18.02.2020,68.6201
15.02.2020,68.771
14.02.2020,69.1795
13.02.2020,68.7843
12.02.2020,69.7684
11.02.2020,69.8226
08.02.2020,69.6288
07.02.2020,69.0837
06.02.2020,69.7443
05.02.2020,70.1265
04.02.2020,70.7921
01.02.2020,69.5976
31.01.2020,69.4151
30.01.2020,68.6764
29.01.2020,69.226
28.01.2020,68.7775
25.01.2020,68.2924
24.01.2020,68.6856
23.01.2020,68.5186
22.01.2020,68.6222
21.01.2020,68.2082
18.01.2020,68.5358
17.01.2020,68.656
16.01.2020,68.3747
15.01.2020,68.4213
14.01.2020,67.8162
11.01.2020,68.045
10.01.2020,68.0555
01.01.2020,69.3777
31.12.2019,69.3406
28.12.2019,69.0349
27.12.2019,68.5003
26.12.2019,68.4065
25.12.2019,68.9062
24.12.2019,68.9978
21.12.2019,69.378
20.12.2019,69.5877
19.12.2019,69.6925
18.12.2019,69.6801
17.12.2019,69.9431
14.12.2019,69.8608
13.12.2019,70.4271
12.12.2019,70.4558
11.12.2019,70.3881
10.12.2019,70.5047
07.12.2019,70.7594
06.12.2019,70.7245
05.12.2019,71.1086
04.12.2019,71.0608
03.12.2019,70.973
30.11.2019,70.5475
